Date,Age,Gender,Marital_Status,Num_Children,Employment_Status,Monthly_Household_Income,Had_Health_Insurance,Insurance_Cover,Last_Hospital_Visit_Months,Had_Health_Insurance_During_Last_Visit,Had_Routine_Checkup,Checkup_Interval_Years,Had_Cancer_Screening,Cancer_Screening_Interval_Years
01/06/2023,51-60,Female,Married,7,Self-employed,40001-50000,Yes,Nhif,3,Yes,Yes,1,Yes,1
01/06/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,NHIF,3,Yes,Yes,3,No,
01/06/2023,18-30,Male,Married,1,Unemployed,0-9999,No,,18,No,Yes,1,No,
02/06/2023,51-60,Female,Married,2,Employed,20001-30000,No,,1,No,No,,No,
02/06/2023,18-30,Male,Married,0,Employed,20001-30000,Yes,Nhif,12,Yes,No,,No,
02/06/2023,18-30,Male,Single,0,Unemployed,,No,,3,No,No,,No,
03/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,NIL,3,No,No,,No,
03/06/2023,18-30,Male,Single,1,Self-employed,10001-20000,Yes,NHIF,6,Yes,No,,No,
03/06/2023,41-50,Male,Married,3,Self-employed,10001-20000,No,,12,No,No,,No,
03/06/2023,41-50,Female,Married,3,Unemployed,0-9999,No,,3,No,No,,No,
05/06/2023,18-30,Male,Single,0,Unemployed,0-9999,Yes,Britam,0,Yes,No,,No,
05/06/2023,31-40,Female,Divorced,2,Self-employed,20001-30000,No,,7,No,Yes,2,No,
05/06/2023,41-50,Male,Married,3,Unemployed,20001-30000,No,,3,No,Yes,3,No,
05/06/2023,51-60,Male,Married,5,Employed,40001-50000,Yes,NHIF,5,Yes,Yes,2,Yes,3
12/06/2023,31-40,Male,Married,3,Unemployed,10001-20000,Yes,NHIF,1,Yes,No,,No,
12/06/2023,41-50,Male,Married,3,Self-employed,20001-30000,Yes,NHIF,1,Yes,No,,No,
12/06/2023,41-50,Female,Married,5,Unemployed,0-9999,Yes,NHIF,1,Yes,No,,Yes,4+
12/06/2023,18-30,Male,Single,,Unemployed,0-9999,No,,1,No,Yes,1,No,
12/06/2023,18-30,Male,Single,0,Self-employed,10001-20000,No,,2,No,No,,No,
12/06/2023,60+,Male,Single,6,Unemployed,0-9999,Yes,NHIF,1,Yes,No,,Yes,3
12/06/2023,31-40,Female,Single,1,Unemployed,10001-20000,No,,3,No,No,,No,
12/06/2023,18-30,Male,Married,1,Unemployed,0-9999,Yes,NHIF,2,No,No,,Yes,4+
12/06/2023,18-30,Female,Single,1,Unemployed,0-9999,No,,0.7,No,Yes,1,No,
12/06/2023,31-40,Female,Married,4,Unemployed,0-9999,Yes,Nhif,1,No,Yes,1,Yes,1
12/06/2023,31-40,Male,Married,2,Self-employed,20001-30000,Yes,NHIF,1,Yes,Yes,1,Yes,1
12/06/2023,31-40,Female,Married,4,Unemployed,40001-50000,Yes,NHIF,5,Yes,No,,No,
12/06/2023,18-30,Female,Married,1,Unemployed,0-9999,Yes,Makueni care,6,Yes,No,,No,
12/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,2,No,No,,No,
12/06/2023,60+,Male,Married,3,Unemployed,0-9999,Yes,NHIF,5,Yes,Yes,1,No,
12/06/2023,18-30,Male,Married,2,Employed,10001-20000,Yes,Nhif,1,Yes,No,,No,
12/06/2023,41-50,Male,Married,3,Self-employed,20001-30000,Yes,NHIF,0.7,Yes,No,,No,
12/06/2023,31-40,Male,Married,3,Employed,20001-30000,Yes,"NHIF,NSSF",3,Yes,No,,No,
12/06/2023,51-60,Female,Divorced,3,Self-employed,20001-30000,Yes,NHIF ,7,No,No,,Yes,4+
12/06/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF ,6,No,No,,No,
12/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,6,No,No,,No,
12/06/2023,60+,Male,Married,4,Unemployed,10001-20000,Yes,"NHIF, NSSF",2,Yes,Yes,4+,Yes,3
12/06/2023,18-30,Female,Single,1,Unemployed,0-9999,Yes,NHIF,1,Yes,No,,No,
12/06/2023,31-40,Female,Married,3,Unemployed,0-9999,No,,3,No,No,,No,
12/06/2023,41-50,Male,Divorced,2,Self-employed,10001-20000,Yes,NHIF,2,Yes,No,,No,
12/06/2023,18-30,Male,Single,0,Employed,0-9999,Yes,Makueni care,4,Yes,No,,No,
12/06/2023,41-50,Female,Married,4,Employed,10001-20000,Yes,NHIF,5,Yes,Yes,1,Yes,4+
12/06/2023,60+,Male,Married,6,Employed,0-9999,Yes,Makueni care,2,Yes,Yes,1,No,
12/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,3,No,No,,No,
12/06/2023,31-40,Female,Married,2,Self-employed,20001-30000,Yes,NHIF ,5,Yes,No,,No,
12/06/2023,41-50,Female,Married,3,Unemployed,10001-20000,No,,8,No,No,,No,
12/06/2023,18-30,Female,Single,0,Unemployed,0-9999,Yes,NHIF ,5,No,No,,No,
12/06/2023,51-60,Female,Married,3,Unemployed,10001-20000,No,,1,No,No,,Yes,1
12/06/2023,31-40,Male,Single,1,Unemployed,10001-20000,Yes,NHIF,2,No,No,,Yes,2
12/06/2023,18-30,Female,Married,1,Employed,10001-20000,No,,3,No,No,,No,
12/06/2023,18-30,Male,Single,,Self-employed,10001-20000,Yes,NHIF,0.25,Yes,No,,No,
12/06/2023,18-30,Male,Single,1,Unemployed,10001-20000,Yes,"NHIF
COMPANY ATTACHED INSURANCE ",5,No,No,,No,
12/06/2023,31-40,Female,Single,2,Employed,10001-20000,Yes,"JUBILEE INSURANCE 
NHIF ",4,No,No,,Yes,4+
12/06/2023,41-50,Female,Married,1,Unemployed,10001-20000,Yes,NHIF ,1,Yes,Yes,2,Yes,2
12/06/2023,18-30,Male,Single,0,Unemployed,0-9999,No,,3,No,No,,No,
12/06/2023,41-50,Male,Married,2,Unemployed,0-9999,Yes,BRITAM,2,Yes,Yes,2,No,
12/06/2023,18-30,Female,Single,1,Employed,0-9999,Yes,NHIF,2,No,No,,No,
12/06/2023,18-30,Female,Single,,Unemployed,0-9999,Yes,NHIF,9,No,No,,No,
12/06/2023,31-40,Female,Married,2,Employed,40001-50000,Yes,Nhif,0.2,Yes,No,,No,
12/06/2023,18-30,Female,Married,3,Self-employed,20001-30000,No,,1,Yes,Yes,1,No,
